timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772090092.2761483,empty_room,134,5,0,0,0,0,25,23,20,19,90,11,0,0,0,0,21,21,23,18,128,5,0,0,0,0,16,14,16,16
1772090092.35264,empty_room,90,11,0,0,0,0,23,25,24,24,99,5,0,0,0,0,17,13,8,5,99,5,0,0,0,0,11,15,21,23
1772090092.4615932,empty_room,99,5,0,0,0,0,13,14,13,13,134,5,0,0,0,0,18,14,8,4,140,6,0,0,0,0,27,26,27,27
1772090092.647287,empty_room,128,5,0,0,0,0,17,16,14,18,128,5,0,0,0,0,17,16,15,18,128,5,0,0,0,0,12,12,13,12
1772090092.7610366,empty_room,90,11,0,0,0,0,11,12,12,12,90,11,0,0,0,0,22,20,22,21,90,11,0,0,0,0,19,19,20,22
1772090092.8545997,empty_room,21,15,0,0,0,0,25,23,21,19,99,5,0,0,0,0,18,15,7,5,128,5,0,0,0,0,8,7,8,9
1772090092.9483123,empty_room,128,5,0,0,0,0,12,12,12,13,90,11,0,0,0,0,17,18,21,15,90,11,0,0,0,0,19,21,22,21
1772090093.0423496,empty_room,134,5,0,0,0,0,25,23,21,19,128,5,0,0,0,0,16,18,20,16,90,11,0,0,0,0,16,17,17,16
1772090093.1505396,empty_room,128,5,0,0,0,0,13,13,16,16,99,5,0,0,0,0,20,19,19,17,134,5,0,0,0,0,6,8,12,14
1772090093.2440808,empty_room,90,11,0,0,0,0,13,15,14,12,64,28,0,0,0,0,19,20,17,20,90,11,0,0,0,0,20,20,21,19
1772090093.368566,empty_room,128,5,0,0,0,0,13,14,13,16,99,5,0,0,0,0,21,15,10,5,128,5,0,0,0,0,15,15,16,17
1772090093.4771013,empty_room,128,5,0,0,0,0,12,13,10,12,99,5,0,0,0,0,17,14,9,4,128,5,0,0,0,0,17,17,16,16
1772090093.6024425,empty_room,128,5,0,0,0,0,11,12,12,12,128,5,0,0,0,0,14,18,17,16,128,5,0,0,0,0,16,21,21,16
1772090093.69429,empty_room,90,11,0,0,0,0,21,24,22,24,128,5,0,0,0,0,19,20,17,19,128,5,0,0,0,0,14,13,15,17
1772090093.7889235,empty_room,90,11,0,0,0,0,9,12,11,14,140,6,0,0,0,0,16,15,16,17,128,5,0,0,0,0,20,18,23,20
1772090093.8990948,empty_room,66,29,0,0,0,0,11,11,11,11,128,5,0,0,0,0,11,16,12,17,21,15,0,0,0,0,12,18,21,25
1772090094.0085614,empty_room,99,5,0,0,0,0,12,10,10,9,21,15,0,0,0,0,18,14,8,3,99,5,0,0,0,0,13,20,22,28
1772090094.0870054,empty_room,134,27,0,0,0,0,16,18,11,17,90,11,0,0,0,0,19,17,19,17,90,11,0,0,0,0,23,12,16,14
1772090094.1808548,empty_room,99,5,0,0,0,0,10,14,12,11,99,5,0,0,0,0,17,18,19,16,128,5,0,0,0,0,18,19,19,19
1772090094.2893183,empty_room,21,15,0,0,0,0,11,9,9,8,90,11,0,0,0,0,15,17,18,14,128,5,0,0,0,0,17,17,18,17
1772090094.3981366,empty_room,90,11,0,0,0,0,12,15,13,12,90,11,0,0,0,0,19,18,17,18,128,5,0,0,0,0,18,17,17,16
1772090094.492896,empty_room,21,15,0,0,0,0,26,24,22,21,21,15,0,0,0,0,17,12,7,3,128,5,0,0,0,0,16,15,16,15
1772090094.6352758,empty_room,128,5,0,0,0,0,12,11,12,11,21,15,0,0,0,0,21,15,10,5,128,5,0,0,0,0,6,7,5,5
1772090094.7288032,empty_room,99,5,0,0,0,0,23,20,18,15,21,15,0,0,0,0,20,15,9,4,99,5,0,0,0,0,14,19,24,27
1772090094.8081589,empty_room,90,11,0,0,0,0,23,25,21,24,99,5,0,0,0,0,13,15,15,15,128,5,0,0,0,0,20,18,22,18
1772090094.932247,empty_room,99,5,0,0,0,0,13,13,13,13,99,5,0,0,0,0,17,17,18,17,134,5,0,0,0,0,13,20,23,27
1772090095.0401206,empty_room,128,5,0,0,0,0,11,11,12,14,128,5,0,0,0,0,17,18,18,15,90,11,0,0,0,0,20,22,20,21
1772090095.1488187,empty_room,90,11,0,0,0,0,11,14,13,13,128,5,0,0,0,0,16,16,17,16,90,11,0,0,0,0,17,18,17,18
1772090095.2434,empty_room,128,5,0,0,0,0,12,12,13,13,90,11,0,0,0,0,22,23,23,22,99,5,0,0,0,0,10,14,19,22
1772090095.35074,empty_room,90,11,0,0,0,0,11,12,12,12,99,5,0,0,0,0,20,20,21,20,90,11,0,0,0,0,10,12,10,13
