timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772035690.4199746,empty_room,134,5,0,0,0,0,24,23,20,20,134,5,0,0,0,0,26,23,18,13,134,5,0,0,0,0,10,15,21,24
1772035690.7433202,empty_room,134,5,0,0,0,0,24,23,21,20,134,5,0,0,0,0,25,22,17,13,134,5,0,0,0,0,11,17,22,27
1772035691.1160936,empty_room,134,5,0,0,0,0,25,23,22,21,134,5,0,0,0,0,27,24,19,13,134,5,0,0,0,0,10,14,20,24
1772035691.5095518,empty_room,134,5,0,0,0,0,21,20,18,18,134,5,0,0,0,0,23,20,17,12,134,5,0,0,0,0,8,14,20,23
1772035692.030922,empty_room,134,5,0,0,0,0,21,20,18,17,134,5,0,0,0,0,26,23,19,13,134,5,0,0,0,0,10,15,22,26
1772035692.5339844,empty_room,134,5,0,0,0,0,23,22,20,19,69,1,0,0,0,0,13,8,14,18,69,1,0,0,0,0,20,19,21,21
1772035693.1474705,empty_room,134,5,0,0,0,0,24,22,21,20,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,9,15,20,26
1772035693.5414565,empty_room,134,5,0,0,0,0,21,20,19,19,134,5,0,0,0,0,26,22,18,13,134,5,0,0,0,0,6,8,11,13
1772035694.0684757,empty_room,134,5,0,0,0,0,22,21,20,19,69,1,0,0,0,0,21,19,22,24,134,5,0,0,0,0,10,16,21,27
1772035694.578904,empty_room,134,5,0,0,0,0,23,22,21,21,134,5,0,0,0,0,24,22,18,13,134,5,0,0,0,0,11,17,23,27
1772035695.0525155,empty_room,134,5,0,0,0,0,17,17,15,15,134,5,0,0,0,0,27,24,19,15,69,1,0,0,0,0,17,15,17,19
1772035695.581626,empty_room,134,5,0,0,0,0,23,20,21,20,134,5,0,0,0,0,25,23,18,13,134,5,0,0,0,0,10,16,21,25
1772035695.988179,empty_room,134,5,0,0,0,0,21,19,19,18,134,5,0,0,0,0,24,22,17,13,134,5,0,0,0,0,9,13,19,23
1772035696.5215974,empty_room,69,1,0,0,0,0,20,20,22,24,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,10,15,21,25
1772035696.9304717,empty_room,134,5,0,0,0,0,22,20,19,19,134,5,0,0,0,0,25,22,17,14,134,5,0,0,0,0,10,16,21,26
1772035697.4634511,empty_room,134,5,0,0,0,0,21,21,19,19,69,1,0,0,0,0,15,14,19,18,69,1,0,0,0,0,17,12,16,14
1772035697.8659112,empty_room,134,5,0,0,0,0,23,23,21,21,134,5,0,0,0,0,24,21,17,13,134,5,0,0,0,0,9,15,21,25
1772035698.3662345,empty_room,134,5,0,0,0,0,22,22,21,20,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,9,15,21,26
1772035698.7760272,empty_room,69,1,0,0,0,0,19,14,17,19,134,5,0,0,0,0,26,22,17,13,134,5,0,0,0,0,10,16,22,26
1772035699.1470537,empty_room,134,5,0,0,0,0,23,22,21,21,134,5,0,0,0,0,25,21,18,12,134,5,0,0,0,0,9,15,22,25
1772035699.8672893,empty_room,69,1,0,0,0,0,14,16,16,17,134,5,0,0,0,0,23,21,18,13,134,5,0,0,0,0,9,15,21,25
1772035700.2093148,empty_room,134,5,0,0,0,0,21,20,19,18,134,5,0,0,0,0,26,24,19,13,134,5,0,0,0,0,10,15,21,26
1772035700.6200082,empty_room,134,5,0,0,0,0,21,21,19,19,69,1,0,0,0,0,23,19,22,26,134,5,0,0,0,0,10,15,20,25
1772035700.9846036,empty_room,134,5,0,0,0,0,24,22,22,21,134,5,0,0,0,0,27,23,19,12,134,5,0,0,0,0,9,15,21,25
1772035701.360785,empty_room,134,5,0,0,0,0,21,20,19,19,134,5,0,0,0,0,26,23,19,14,134,5,0,0,0,0,10,16,21,25
1772035701.8112204,empty_room,134,5,0,0,0,0,22,20,19,19,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,11,16,21,26
1772035702.1431265,empty_room,134,5,0,0,0,0,23,22,21,20,134,5,0,0,0,0,26,23,18,13,134,5,0,0,0,0,9,14,21,25
1772035702.6810608,empty_room,134,5,0,0,0,0,12,10,10,10,69,1,0,0,0,0,23,19,24,22,134,5,0,0,0,0,11,16,22,26
1772035703.0559578,empty_room,134,5,0,0,0,0,23,22,21,20,69,1,0,0,0,0,23,16,34,23,134,5,0,0,0,0,9,15,21,26
1772035703.3814795,empty_room,69,1,0,0,0,0,14,14,17,17,134,5,0,0,0,0,26,23,19,13,134,5,0,0,0,0,9,14,19,24
1772035703.8993638,empty_room,134,5,0,0,0,0,20,20,19,18,134,5,0,0,0,0,25,23,18,13,69,1,0,0,0,0,13,15,13,14
1772035704.3786423,empty_room,134,5,0,0,0,0,22,22,20,20,134,5,0,0,0,0,25,22,19,13,134,5,0,0,0,0,10,15,21,25
1772035704.7180712,empty_room,134,5,0,0,0,0,21,20,18,19,134,5,0,0,0,0,26,22,18,13,134,5,0,0,0,0,9,14,20,23
1772035705.227249,empty_room,134,5,0,0,0,0,20,18,17,17,134,5,0,0,0,0,24,21,17,12,134,5,0,0,0,0,8,13,18,22
1772035705.628122,empty_room,134,5,0,0,0,0,24,22,21,20,134,5,0,0,0,0,23,20,17,12,69,1,0,0,0,0,4,19,8,9
1772035706.034394,empty_room,134,5,0,0,0,0,22,21,20,19,134,5,0,0,0,0,27,24,19,14,134,5,0,0,0,0,10,15,21,24
1772035706.4510295,empty_room,134,5,0,0,0,0,24,21,21,20,134,5,0,0,0,0,23,21,16,12,134,5,0,0,0,0,8,14,19,24
1772035706.8605075,empty_room,134,5,0,0,0,0,21,21,20,19,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,9,16,21,26
1772035707.2366805,empty_room,134,5,0,0,0,0,24,22,21,20,134,5,0,0,0,0,24,22,18,13,134,5,0,0,0,0,10,16,22,26
1772035707.649783,empty_room,134,5,0,0,0,0,20,20,19,19,134,5,0,0,0,0,24,22,17,13,134,5,0,0,0,0,4,8,8,12
1772035708.0537574,empty_room,134,5,0,0,0,0,21,20,19,18,134,5,0,0,0,0,26,22,19,12,134,5,0,0,0,0,8,13,19,22
1772035708.563899,empty_room,134,5,0,0,0,0,21,21,20,20,134,5,0,0,0,0,27,23,19,13,69,1,0,0,0,0,15,14,15,17
1772035708.9731157,empty_room,134,5,0,0,0,0,23,21,21,20,134,5,0,0,0,0,26,24,18,14,134,5,0,0,0,0,10,15,22,26
