timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772027156.9959984,falling,134,5,0,0,0,0,25,21,18,13,134,5,0,0,0,0,18,22,25,27,69,1,0,0,0,0,7,1,4,2
1772027157.327273,falling,134,5,0,0,0,0,23,19,15,11,134,5,0,0,0,0,20,25,29,31,134,5,0,0,0,0,19,19,18,17
1772027157.7213628,falling,134,5,0,0,0,0,23,20,15,10,134,5,0,0,0,0,19,23,26,28,134,5,0,0,0,0,17,16,16,15
1772027158.135811,falling,134,5,0,0,0,0,25,22,17,12,134,5,0,0,0,0,8,10,13,13,69,1,0,0,0,0,12,15,7,15
1772027158.541584,falling,134,5,0,0,0,0,25,21,16,11,134,5,0,0,0,0,18,22,26,27,134,5,0,0,0,0,16,16,17,17
1772027158.848396,falling,134,5,0,0,0,0,23,19,14,7,134,5,0,0,0,0,20,24,27,29,134,5,0,0,0,0,16,16,16,16
1772027159.1639836,falling,134,5,0,0,0,0,23,20,15,10,134,5,0,0,0,0,18,22,26,28,134,5,0,0,0,0,18,18,20,21
1772027159.627195,falling,134,5,0,0,0,0,26,22,16,9,134,5,0,0,0,0,18,21,23,24,69,1,0,0,0,0,26,25,23,25
1772027160.0318036,falling,69,1,0,0,0,0,31,19,27,31,134,5,0,0,0,0,20,22,25,27,134,5,0,0,0,0,17,17,18,19
1772027160.378784,falling,134,5,0,0,0,0,28,25,20,14,69,1,0,0,0,0,11,13,12,13,134,5,0,0,0,0,14,14,15,17
1772027160.700519,falling,134,5,0,0,0,0,25,21,17,12,134,5,0,0,0,0,16,20,23,25,134,5,0,0,0,0,16,16,16,17
1772027161.203498,falling,134,5,0,0,0,0,24,20,18,12,134,5,0,0,0,0,23,27,30,32,134,5,0,0,0,0,16,16,16,18
1772027161.49937,falling,134,5,0,0,0,0,24,23,19,15,134,5,0,0,0,0,20,24,27,29,134,5,0,0,0,0,16,14,13,14
1772027161.9143405,falling,134,5,0,0,0,0,21,20,16,12,134,5,0,0,0,0,18,20,23,25,134,5,0,0,0,0,8,7,8,8
1772027162.3247056,falling,134,5,0,0,0,0,22,18,14,10,134,5,0,0,0,0,19,24,28,29,134,5,0,0,0,0,17,16,15,15
1772027162.7420208,falling,134,5,0,0,0,0,26,21,17,12,143,6,0,0,0,0,19,22,25,28,134,5,0,0,0,0,18,18,17,19
1772027163.1514885,falling,134,5,0,0,0,0,23,20,16,12,134,5,0,0,0,0,20,25,29,32,133,8,0,0,0,0,11,6,14,15
1772027163.465375,falling,134,5,0,0,0,0,24,20,18,12,134,5,0,0,0,0,18,21,26,28,69,1,0,0,0,0,15,20,19,18
1772027163.9543543,falling,134,5,0,0,0,0,24,21,18,14,134,5,0,0,0,0,19,22,26,28,134,5,0,0,0,0,16,16,17,17
1772027164.3562148,falling,134,5,0,0,0,0,21,20,15,12,134,5,0,0,0,0,17,21,25,26,134,5,0,0,0,0,16,17,16,18
1772027164.6755426,falling,134,5,0,0,0,0,25,22,19,13,134,5,0,0,0,0,15,18,23,24,134,5,0,0,0,0,14,14,15,15
1772027165.0090623,falling,134,5,0,0,0,0,25,21,18,15,134,5,0,0,0,0,16,20,24,26,134,5,0,0,0,0,17,16,17,17
1772027165.3883417,falling,134,5,0,0,0,0,29,25,19,13,134,5,0,0,0,0,18,23,26,29,134,5,0,0,0,0,17,17,17,18
1772027165.696978,falling,134,5,0,0,0,0,20,17,13,9,134,5,0,0,0,0,20,23,25,27,134,5,0,0,0,0,18,18,18,19
1772027166.0974438,falling,43,1,0,0,0,0,19,19,19,19,134,5,0,0,0,0,19,21,24,25,134,5,0,0,0,0,17,16,18,18
1772027166.4316556,falling,134,5,0,0,0,0,24,21,16,11,134,5,0,0,0,0,19,22,25,26,134,5,0,0,0,0,18,18,18,19
1772027166.7392974,falling,43,1,0,0,0,0,26,26,26,26,134,5,0,0,0,0,16,20,23,26,134,5,0,0,0,0,17,18,17,19
