timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772035515.8302763,nothing_moving,134,5,0,0,0,0,23,21,21,21,134,5,0,0,0,0,26,23,18,12,134,5,0,0,0,0,12,16,22,25
1772035516.473603,nothing_moving,69,1,0,0,0,0,14,12,16,16,134,5,0,0,0,0,25,22,17,11,134,5,0,0,0,0,12,18,24,28
1772035516.8118627,nothing_moving,134,5,0,0,0,0,23,22,21,20,134,5,0,0,0,0,26,21,17,12,134,5,0,0,0,0,13,18,24,28
1772035517.222059,nothing_moving,134,5,0,0,0,0,23,21,20,19,134,5,0,0,0,0,25,22,18,13,134,5,0,0,0,0,12,17,23,27
1772035517.7245955,nothing_moving,134,5,0,0,0,0,23,21,20,21,134,5,0,0,0,0,26,23,19,13,134,5,0,0,0,0,12,18,22,28
1772035518.1385984,nothing_moving,134,5,0,0,0,0,23,21,21,20,134,5,0,0,0,0,25,22,18,13,69,1,0,0,0,0,20,19,19,21
1772035518.5227487,nothing_moving,134,5,0,0,0,0,21,20,19,19,134,5,0,0,0,0,26,22,18,12,69,1,0,0,0,0,16,13,22,15
1772035518.8495133,nothing_moving,134,5,0,0,0,0,21,20,20,18,134,5,0,0,0,0,25,22,18,12,134,5,0,0,0,0,11,18,25,29
1772035519.2677383,nothing_moving,134,5,0,0,0,0,21,20,18,19,134,5,0,0,0,0,25,22,17,12,69,1,0,0,0,0,17,18,18,19
1772035519.6972992,nothing_moving,134,5,0,0,0,0,22,22,20,20,134,5,0,0,0,0,25,22,17,12,134,5,0,0,0,0,11,17,22,26
1772035520.088482,nothing_moving,134,5,0,0,0,0,25,23,22,21,134,5,0,0,0,0,24,21,16,11,134,5,0,0,0,0,6,10,12,14
1772035520.45431,nothing_moving,134,5,0,0,0,0,21,20,19,18,69,1,0,0,0,0,23,20,22,19,134,5,0,0,0,0,11,18,22,28
1772035520.774542,nothing_moving,134,5,0,0,0,0,20,17,18,17,134,5,0,0,0,0,25,22,18,12,134,5,0,0,0,0,12,18,25,30
1772035521.0924988,nothing_moving,134,5,0,0,0,0,24,23,20,21,134,5,0,0,0,0,26,22,18,12,134,5,0,0,0,0,13,19,24,28
1772035521.4193404,nothing_moving,134,5,0,0,0,0,24,22,21,21,134,5,0,0,0,0,24,20,17,11,134,5,0,0,0,0,7,10,12,14
1772035521.8200731,nothing_moving,134,5,0,0,0,0,20,19,19,17,134,5,0,0,0,0,26,22,17,12,134,5,0,0,0,0,12,18,23,28
1772035522.2266681,nothing_moving,134,5,0,0,0,0,24,23,21,21,134,5,0,0,0,0,25,21,16,11,134,5,0,0,0,0,12,18,23,28
1772035522.603658,nothing_moving,134,5,0,0,0,0,21,19,17,18,134,5,0,0,0,0,26,23,16,12,134,5,0,0,0,0,12,17,23,28
1772035522.9123292,nothing_moving,134,5,0,0,0,0,21,20,18,18,134,5,0,0,0,0,26,22,17,13,134,5,0,0,0,0,12,18,23,28
1772035523.2197537,nothing_moving,134,5,0,0,0,0,24,21,21,20,134,5,0,0,0,0,22,19,16,11,134,5,0,0,0,0,12,17,24,27
1772035523.5582194,nothing_moving,134,5,0,0,0,0,22,21,20,19,134,5,0,0,0,0,25,22,17,12,134,5,0,0,0,0,13,19,24,29
1772035523.9489076,nothing_moving,134,5,0,0,0,0,20,19,18,17,134,5,0,0,0,0,25,21,17,11,134,5,0,0,0,0,13,18,24,28
1772035524.2782083,nothing_moving,134,5,0,0,0,0,23,21,20,20,134,5,0,0,0,0,23,20,16,11,134,5,0,0,0,0,12,17,21,25
1772035524.6861827,nothing_moving,134,5,0,0,0,0,24,22,21,20,134,5,0,0,0,0,24,21,16,10,134,5,0,0,0,0,12,17,24,27
1772035525.0617359,nothing_moving,134,5,0,0,0,0,21,20,19,19,134,5,0,0,0,0,25,22,17,11,134,5,0,0,0,0,14,19,25,31
1772035525.383348,nothing_moving,134,5,0,0,0,0,23,22,21,20,134,5,0,0,0,0,23,19,16,10,134,5,0,0,0,0,11,17,23,28
1772035525.7196949,nothing_moving,134,5,0,0,0,0,18,19,16,17,134,5,0,0,0,0,26,22,18,13,69,1,0,0,0,0,15,16,18,17
1772035526.0853558,nothing_moving,134,5,0,0,0,0,21,21,20,19,134,5,0,0,0,0,26,22,18,12,134,5,0,0,0,0,13,18,24,27
1772035526.399896,nothing_moving,134,5,0,0,0,0,24,21,21,21,134,5,0,0,0,0,26,22,18,12,134,5,0,0,0,0,12,18,24,29
1772035526.7078354,nothing_moving,134,5,0,0,0,0,20,17,17,16,134,5,0,0,0,0,25,21,17,12,134,5,0,0,0,0,12,18,23,28
1772035527.0534875,nothing_moving,134,5,0,0,0,0,20,20,18,18,134,5,0,0,0,0,23,21,16,11,134,5,0,0,0,0,12,19,23,28
1772035527.421228,nothing_moving,134,5,0,0,0,0,20,19,18,17,134,5,0,0,0,0,26,23,19,13,134,5,0,0,0,0,13,18,24,27
1772035527.731719,nothing_moving,134,5,0,0,0,0,22,21,19,19,134,5,0,0,0,0,25,22,17,12,134,5,0,0,0,0,7,10,12,16
1772035528.0343192,nothing_moving,134,5,0,0,0,0,22,21,19,19,134,5,0,0,0,0,25,22,18,12,134,5,0,0,0,0,12,18,24,28
