timestamp,label,ESP32_NODE_1_sub_0,ESP32_NODE_1_sub_1,ESP32_NODE_1_sub_2,ESP32_NODE_1_sub_3,ESP32_NODE_1_sub_4,ESP32_NODE_1_sub_5,ESP32_NODE_1_sub_6,ESP32_NODE_1_sub_7,ESP32_NODE_1_sub_8,ESP32_NODE_1_sub_9,ESP32_NODE_2_sub_0,ESP32_NODE_2_sub_1,ESP32_NODE_2_sub_2,ESP32_NODE_2_sub_3,ESP32_NODE_2_sub_4,ESP32_NODE_2_sub_5,ESP32_NODE_2_sub_6,ESP32_NODE_2_sub_7,ESP32_NODE_2_sub_8,ESP32_NODE_2_sub_9,ESP32_NODE_3_sub_0,ESP32_NODE_3_sub_1,ESP32_NODE_3_sub_2,ESP32_NODE_3_sub_3,ESP32_NODE_3_sub_4,ESP32_NODE_3_sub_5,ESP32_NODE_3_sub_6,ESP32_NODE_3_sub_7,ESP32_NODE_3_sub_8,ESP32_NODE_3_sub_9
1772090308.6476285,walking,134,5,0,0,0,0,14,12,11,10,99,5,0,0,0,0,15,15,20,17,90,11,0,0,0,0,11,11,13,12
1772090308.7568905,walking,21,15,0,0,0,0,24,22,20,18,90,11,0,0,0,0,20,22,19,17,90,11,0,0,0,0,19,19,20,17
1772090308.9126346,walking,128,5,0,0,0,0,13,13,13,16,128,5,0,0,0,0,20,19,20,18,99,5,0,0,0,0,27,28,25,27
1772090309.0558722,walking,128,5,0,0,0,0,16,17,17,20,21,15,0,0,0,0,23,15,12,5,128,5,0,0,0,0,14,15,18,19
1772090309.2154555,walking,99,5,0,0,0,0,22,20,18,16,128,5,0,0,0,0,20,19,19,18,99,5,0,0,0,0,11,14,20,23
1772090309.3591423,walking,128,5,0,0,0,0,21,22,23,22,128,5,0,0,0,0,17,18,18,18,128,5,0,0,0,0,18,18,18,17
1772090309.4844513,walking,21,15,0,0,0,0,24,22,20,19,21,15,0,0,0,0,18,13,8,2,90,11,0,0,0,0,24,24,25,27
1772090309.560961,walking,99,5,0,0,0,0,9,9,11,12,128,5,0,0,0,0,18,18,17,17,92,27,0,0,0,0,15,17,18,17
1772090309.6390412,walking,90,11,0,0,0,0,12,12,12,12,90,11,0,0,0,0,18,17,19,16,128,5,0,0,0,0,18,19,18,20
1772090309.7331438,walking,90,11,0,0,0,0,10,11,10,12,90,11,0,0,0,0,19,20,19,20,90,11,0,0,0,0,14,12,14,14
1772090309.8119104,walking,90,11,0,0,0,0,14,16,17,17,128,5,0,0,0,0,21,19,22,21,128,5,0,0,0,0,19,18,18,18
1772090309.9218414,walking,134,5,0,0,0,0,26,22,22,19,90,11,0,0,0,0,16,16,17,16,128,5,0,0,0,0,8,11,8,11
1772090310.0300233,walking,128,5,0,0,0,0,18,21,24,24,21,15,0,0,0,0,21,15,9,6,90,11,0,0,0,0,10,9,10,10
1772090310.1223383,walking,90,11,0,0,0,0,11,12,12,10,128,5,0,0,0,0,16,16,17,17,99,5,0,0,0,0,15,21,25,29
1772090310.228674,walking,128,5,0,0,0,0,9,11,12,13,128,5,0,0,0,0,23,18,24,21,128,5,0,0,0,0,20,20,21,20
1772090310.3375967,walking,134,5,0,0,0,0,25,21,21,18,90,11,0,0,0,0,24,21,24,24,99,5,0,0,0,0,12,14,18,22
1772090310.4324327,walking,90,11,0,0,0,0,22,24,23,24,128,5,0,0,0,0,16,18,17,16,128,5,0,0,0,0,19,20,20,20
1772090310.5413313,walking,128,5,0,0,0,0,20,16,21,20,99,5,0,0,0,0,22,22,24,23,128,5,0,0,0,0,14,14,12,12
1772090310.635039,walking,43,17,0,0,0,0,10,10,9,12,128,5,0,0,0,0,18,17,13,14,99,5,0,0,0,0,10,11,12,10
1772090310.7120247,walking,90,11,0,0,0,0,17,17,19,19,21,15,0,0,0,0,21,16,8,5,128,5,0,0,0,0,22,18,23,17
1772090310.8062978,walking,99,5,0,0,0,0,25,24,21,19,117,29,0,0,0,0,22,18,22,21,90,11,0,0,0,0,22,20,23,18
1772090310.899762,walking,134,5,0,0,0,0,25,22,21,18,21,15,0,0,0,0,19,14,6,3,128,5,0,0,0,0,20,19,21,20
1772090310.9952042,walking,128,5,0,0,0,0,13,14,12,10,99,5,0,0,0,0,21,15,9,2,128,5,0,0,0,0,14,12,12,13
1772090311.0891948,walking,99,5,0,0,0,0,17,15,15,17,128,5,0,0,0,0,20,18,19,17,99,5,0,0,0,0,16,17,15,16
1772090311.1976857,walking,134,5,0,0,0,0,23,22,20,18,128,5,0,0,0,0,29,28,26,24,99,5,0,0,0,0,12,10,12,11
1772090311.2950604,walking,128,5,0,0,0,0,8,9,10,8,90,11,0,0,0,0,17,16,18,17,90,11,0,0,0,0,21,21,21,22
1772090311.4030735,walking,134,5,0,0,0,0,22,20,19,17,99,5,0,0,0,0,24,19,13,6,134,5,0,0,0,0,12,17,22,26
1772090311.511727,walking,128,5,0,0,0,0,12,12,12,11,128,5,0,0,0,0,22,15,22,17,128,5,0,0,0,0,28,23,26,23
1772090311.590663,walking,128,5,0,0,0,0,21,20,19,23,99,5,0,0,0,0,20,15,11,7,128,5,0,0,0,0,18,18,17,17
1772090311.6687431,walking,134,5,0,0,0,0,25,22,20,18,128,5,0,0,0,0,11,12,17,15,134,5,0,0,0,0,11,15,20,24
1772090311.7785127,walking,134,5,0,0,0,0,24,22,20,18,128,5,0,0,0,0,20,20,18,19,90,11,0,0,0,0,17,17,13,18
1772090311.8723102,walking,134,5,0,0,0,0,25,21,20,18,90,11,0,0,0,0,17,17,16,16,90,11,0,0,0,0,19,18,16,16
1772090311.9659972,walking,128,5,0,0,0,0,6,6,7,8,128,5,0,0,0,0,21,20,20,21,134,5,0,0,0,0,5,10,16,21
1772090312.0754938,walking,128,5,0,0,0,0,6,7,6,5,128,5,0,0,0,0,15,15,15,13,128,5,0,0,0,0,17,17,16,17
1772090312.185962,walking,99,5,0,0,0,0,25,23,21,18,128,5,0,0,0,0,19,18,19,19,134,5,0,0,0,0,22,24,25,26
1772090312.2780766,walking,21,15,0,0,0,0,21,21,19,17,128,5,0,0,0,0,19,18,18,18,117,29,0,0,0,0,19,20,19,20
1772090312.373171,walking,128,5,0,0,0,0,18,18,19,19,128,5,0,0,0,0,17,17,18,17,134,5,0,0,0,0,11,12,14,14
1772090312.4820342,walking,90,11,0,0,0,0,13,10,9,11,90,11,0,0,0,0,20,20,18,19,90,11,0,0,0,0,11,10,11,11
1772090312.5920613,walking,128,5,0,0,0,0,16,20,13,21,99,5,0,0,0,0,16,12,7,7,134,5,0,0,0,0,13,17,21,24
1772090312.6843014,walking,128,5,0,0,0,0,17,19,17,16,128,5,0,0,0,0,19,20,18,18,128,5,0,0,0,0,20,19,23,18
1772090312.7927916,walking,90,11,0,0,0,0,12,12,13,14,99,5,0,0,0,0,15,9,5,2,90,11,0,0,0,0,11,13,13,14
1772090312.8867893,walking,134,5,0,0,0,0,23,23,20,18,128,5,0,0,0,0,20,20,21,19,128,5,0,0,0,0,26,25,27,25
1772090312.9966857,walking,128,5,0,0,0,0,27,31,26,27,99,5,0,0,0,0,17,11,6,5,128,5,0,0,0,0,20,20,19,19
1772090313.0893662,walking,117,29,0,0,0,0,14,12,12,12,128,5,0,0,0,0,19,19,19,19,99,5,0,0,0,0,13,19,24,28
1772090313.1966252,walking,90,11,0,0,0,0,10,11,11,11,21,15,0,0,0,0,19,14,9,5,128,5,0,0,0,0,8,8,9,9
1772090313.2889938,walking,128,5,0,0,0,0,22,17,18,18,128,5,0,0,0,0,21,22,19,19,128,5,0,0,0,0,31,30,30,31
1772090313.3658068,walking,99,5,0,0,0,0,17,19,20,18,99,5,0,0,0,0,18,19,17,18,21,15,0,0,0,0,6,9,13,14
1772090313.4589815,walking,90,11,0,0,0,0,7,10,11,9,128,5,0,0,0,0,19,19,17,19,128,5,0,0,0,0,17,17,17,17
1772090313.5526247,walking,134,5,0,0,0,0,23,21,19,18,90,11,0,0,0,0,19,22,19,20,128,5,0,0,0,0,21,18,18,19
1772090313.659338,walking,128,5,0,0,0,0,16,9,15,14,128,5,0,0,0,0,22,22,21,21,90,11,0,0,0,0,13,12,14,12
1772090313.7231257,walking,117,29,0,0,0,0,15,13,15,13,91,29,0,0,0,0,20,21,20,18,90,11,0,0,0,0,15,15,17,18
1772090313.816796,walking,99,5,0,0,0,0,23,20,18,17,128,5,0,0,0,0,18,17,19,18,90,11,0,0,0,0,25,24,21,25
